,PR-AUC,ROC-AUC,Max F1,Max F1 Precision,Max F1 Recall,runtime,status,model,subsample,preprocessor,postprocessor,seed,lr,anom_fraction,dataset
0,0.8550701222736298,0.9983266610052974,0.8294573643410852,0.8045112781954887,0.856,7.042227745056152,Completed,PW-AE,50000,minmax,none,,0.1,0.005,covertype
1,0.8010902848059035,0.9962342998099398,0.75,0.6938775510204082,0.816,6.641006231307983,Completed,DAE,50000,minmax,none,,0.02,0.005,covertype
2,0.2585877246583346,0.9474162723927373,0.4135188866799204,0.41106719367588934,0.416,4.357919454574585,Completed,HST,50000,minmax,none,,,0.005,covertype
3,0.48389477697465005,0.9914192243924137,0.49320388349514566,0.47924528301886793,0.508,7.285667657852173,Completed,PW-AE,50000,minmax,none,,0.1,0.005,covertype
4,0.806087689477514,0.9957546200816855,0.7983367983367984,0.8311688311688312,0.768,6.750784635543823,Completed,DAE,50000,minmax,none,,0.02,0.005,covertype
5,0.27248539961114593,0.9084400905819079,0.32954545454545453,0.5686274509803921,0.232,4.265967845916748,Completed,HST,50000,minmax,none,,,0.005,covertype
6,0.7711119018830624,0.9961534231064741,0.7380497131931167,0.706959706959707,0.772,7.194148063659668,Completed,PW-AE,50000,minmax,none,,0.1,0.005,covertype
7,0.7665059241766611,0.993588984592988,0.7657657657657657,0.8762886597938144,0.68,6.606940507888794,Completed,DAE,50000,minmax,none,,0.02,0.005,covertype
8,0.37348092905855057,0.9843649561243883,0.4864,0.4053333333333333,0.608,4.24931526184082,Completed,HST,50000,minmax,none,,,0.005,covertype
9,0.7782371674007389,0.995816733389947,0.7372881355932204,0.7837837837837838,0.696,7.178720951080322,Completed,PW-AE,50000,minmax,none,,0.1,0.005,covertype
10,0.8391839702433153,0.995586558291884,0.822314049586777,0.8504273504273504,0.796,6.7321457862854,Completed,DAE,50000,minmax,none,,0.02,0.005,covertype
11,0.03264029817509029,0.8374627764972299,0.0942408376963351,0.060267857142857144,0.216,4.2939207553863525,Completed,HST,50000,minmax,none,,,0.005,covertype
12,0.614401078731301,0.9927879817218649,0.6484375,0.6335877862595419,0.664,7.223797798156738,Completed,PW-AE,50000,minmax,none,,0.1,0.005,covertype
13,0.7455788944293917,0.9934189817623036,0.7352380952380952,0.7018181818181818,0.772,6.88950777053833,Completed,DAE,50000,minmax,none,,0.02,0.005,covertype
14,0.16886200231914206,0.9365343119414452,0.3201581027667984,0.31640625,0.324,4.396647691726685,Completed,HST,50000,minmax,none,,,0.005,covertype
15,0.836308725447762,0.9944817016458409,0.7900723888314374,0.8179871520342612,0.764,7.224442958831787,Completed,PW-AE,50000,minmax,none,,0.1,0.01,covertype
16,0.8993998399968376,0.9978547858789275,0.8562874251497006,0.8545816733067729,0.858,6.719447135925293,Completed,DAE,50000,minmax,none,,0.02,0.01,covertype
17,0.2809632544686427,0.9347719883537547,0.31884057971014496,0.4671814671814672,0.242,4.295607089996338,Completed,HST,50000,minmax,none,,,0.01,covertype
18,0.7703015559792533,0.9935021230134661,0.7541954590325765,0.7446393762183235,0.764,7.180618762969971,Completed,PW-AE,50000,minmax,none,,0.1,0.01,covertype
19,0.848791488258156,0.994356989769097,0.8085539714867617,0.8236514522821576,0.794,6.703265190124512,Completed,DAE,50000,minmax,none,,0.02,0.01,covertype
20,0.2949007348209742,0.9373392777710381,0.3506625891946993,0.3575883575883576,0.344,4.410267353057861,Completed,HST,50000,minmax,none,,,0.01,covertype
21,0.8852181663913414,0.9976013182902664,0.8311425682507583,0.8404907975460123,0.822,7.288921117782593,Completed,PW-AE,50000,minmax,none,,0.1,0.01,covertype
22,0.8896258230778964,0.9929989081645033,0.8428571428571429,0.8604166666666667,0.826,6.717801809310913,Completed,DAE,50000,minmax,none,,0.02,0.01,covertype
23,0.12860832546092768,0.9102336730154879,0.17484177215189875,0.10897435897435898,0.442,4.312717437744141,Completed,HST,50000,minmax,none,,,0.01,covertype
24,0.7784145862574882,0.9942424683569898,0.7268862911795961,0.7755102040816326,0.684,7.331735610961914,Completed,PW-AE,50000,minmax,none,,0.1,0.01,covertype
25,0.8212974150470257,0.9917604027659832,0.7956564659427443,0.7855750487329435,0.806,6.981119155883789,Completed,DAE,50000,minmax,none,,0.02,0.01,covertype
26,0.07967816281621956,0.8969799223583647,0.17375231053604437,0.10657596371882086,0.47,4.467193365097046,Completed,HST,50000,minmax,none,,,0.01,covertype
27,0.8124803603629412,0.9970110801083748,0.7884436160298229,0.7382198952879581,0.846,7.042495012283325,Completed,PW-AE,50000,minmax,none,,0.1,0.01,covertype
28,0.8716813407657252,0.9969930850418537,0.8377281947261663,0.8497942386831275,0.826,6.543760776519775,Completed,DAE,50000,minmax,none,,0.02,0.01,covertype
29,0.1760491291346642,0.945480346961058,0.31825273010920435,0.2608695652173913,0.408,4.308804988861084,Completed,HST,50000,minmax,none,,,0.01,covertype
30,0.795155063507698,0.9925210693739426,0.7675528289025221,0.7852161785216178,0.7506666666666667,7.225580453872681,Completed,PW-AE,50000,minmax,none,,0.1,0.015,covertype
31,0.9300802761878356,0.9964650558375633,0.8744827586206896,0.9057142857142857,0.8453333333333334,6.715389013290405,Completed,DAE,50000,minmax,none,,0.02,0.015,covertype
32,0.08783691498721619,0.872589847715736,0.17246484085862324,0.11936475409836066,0.31066666666666665,4.2697954177856445,Completed,HST,50000,minmax,none,,,0.015,covertype
33,0.8359368956078482,0.9954353976311338,0.7693379790940766,0.8058394160583942,0.736,7.1085755825042725,Completed,PW-AE,50000,minmax,none,,0.1,0.015,covertype
