,PR-AUC,ROC-AUC,Max F1,Max F1 Precision,Max F1 Recall,runtime,status,model,subsample,preprocessor,postprocessor,seed,latent_dim,lr,dataset
0,0.7900907889719291,0.9930836615778508,0.7510204081632652,0.8401826484018264,0.6789667896678967,3.9883029460906982,Completed,AE,50000,minmax,none,,0.1,0.02,covertype
1,0.18277944531968277,0.9082749998918161,0.28711897738446407,0.30736842105263157,0.2693726937269373,4.0374391078948975,Completed,AE,50000,minmax,none,,0.1,0.02,covertype
2,0.6935141226756043,0.976300551856665,0.6611053180396246,0.7601918465227818,0.584870848708487,4.062689304351807,Completed,AE,50000,minmax,none,,0.1,0.02,covertype
3,0.3984047280689101,0.9555675030242963,0.47069943289224947,0.48255813953488375,0.45940959409594095,3.994580030441284,Completed,AE,50000,minmax,none,,0.1,0.02,covertype
4,0.7431552111287028,0.9901898946200428,0.692144373673036,0.815,0.6014760147601476,3.906867742538452,Completed,AE,50000,minmax,none,,0.1,0.02,covertype
5,0.7526152217050508,0.9835746055507383,0.7199265381083563,0.716636197440585,0.7232472324723247,3.94332218170166,Completed,AE,50000,minmax,none,,0.2,0.02,covertype
6,0.8155546055920782,0.9865962158954357,0.7825242718446602,0.8258196721311475,0.7435424354243543,3.9870986938476562,Completed,AE,50000,minmax,none,,0.2,0.02,covertype
7,0.6309598818534871,0.9787857198601101,0.6538830297219559,0.6806387225548902,0.6291512915129152,4.030997276306152,Completed,AE,50000,minmax,none,,0.2,0.02,covertype
8,0.8258141655810888,0.9873676035680653,0.7949951876804621,0.8309859154929577,0.7619926199261993,3.9796533584594727,Completed,AE,50000,minmax,none,,0.2,0.02,covertype
9,0.7145785067331394,0.9820782746223679,0.6853932584269662,0.6958174904942965,0.6752767527675276,3.9651756286621094,Completed,AE,50000,minmax,none,,0.2,0.02,covertype
10,0.8291995962844252,0.9913124692329053,0.8012358393408858,0.9067599067599068,0.7177121771217713,3.919726610183716,Completed,AE,50000,minmax,none,,0.30000000000000004,0.02,covertype
11,0.8673160377937864,0.9951805244123046,0.8167141500474834,0.8414872798434442,0.7933579335793358,3.954951047897339,Completed,AE,50000,minmax,none,,0.30000000000000004,0.02,covertype
12,0.8441134548758128,0.9945420908776599,0.7973733583489682,0.8110687022900763,0.7841328413284133,3.916273832321167,Completed,AE,50000,minmax,none,,0.30000000000000004,0.02,covertype
13,0.30360790393867854,0.9502693328522512,0.361169102296451,0.41586538461538464,0.3191881918819188,4.010861396789551,Completed,AE,50000,minmax,none,,0.30000000000000004,0.02,covertype
14,0.7421442142409337,0.9908006107235644,0.686964795432921,0.7092337917485265,0.6660516605166051,4.018646955490112,Completed,AE,50000,minmax,none,,0.30000000000000004,0.02,covertype
15,0.6702681669619027,0.9896749025114902,0.6323268206039077,0.6095890410958904,0.6568265682656826,3.9814743995666504,Completed,AE,50000,minmax,none,,0.4,0.02,covertype
16,0.8270895207635831,0.9946417691763961,0.8072519083969465,0.8359683794466403,0.7804428044280443,3.9304699897766113,Completed,AE,50000,minmax,none,,0.4,0.02,covertype
17,0.6522300688581175,0.9847019551719235,0.6322188449848024,0.701123595505618,0.5756457564575646,3.9784798622131348,Completed,AE,50000,minmax,none,,0.4,0.02,covertype
18,0.5739807843682149,0.9769821469899765,0.5727611940298507,0.5792452830188679,0.566420664206642,3.971895933151245,Completed,AE,50000,minmax,none,,0.4,0.02,covertype
19,0.542625230754716,0.9743889444232305,0.537878787878788,0.5525291828793775,0.5239852398523985,3.969228744506836,Completed,AE,50000,minmax,none,,0.4,0.02,covertype
20,0.7256165221693729,0.9948033733643171,0.6636113657195234,0.6593806921675774,0.6678966789667896,4.059340238571167,Completed,AE,50000,minmax,none,,0.5,0.02,covertype
21,0.7777125192848261,0.9887065457455496,0.7488667271078877,0.7361853832442068,0.7619926199261993,4.068761110305786,Completed,AE,50000,minmax,none,,0.5,0.02,covertype
22,0.8356992145386817,0.9950614476422577,0.780058651026393,0.8295218295218295,0.7361623616236163,4.049959897994995,Completed,AE,50000,minmax,none,,0.5,0.02,covertype
23,0.8714621852544097,0.9920577808835228,0.8407766990291261,0.8872950819672131,0.7988929889298892,4.003335237503052,Completed,AE,50000,minmax,none,,0.5,0.02,covertype
24,0.5915659404463114,0.9787230105711223,0.5539112050739958,0.6485148514851485,0.4833948339483395,4.044588327407837,Completed,AE,50000,minmax,none,,0.5,0.02,covertype
25,0.8103965886049747,0.9921128800029964,0.749738219895288,0.8668280871670703,0.6605166051660517,4.0356385707855225,Completed,AE,50000,minmax,none,,0.6,0.02,covertype
26,0.5405406803953029,0.9777447307410111,0.5732484076433121,0.5655296229802513,0.5811808118081181,4.027115106582642,Completed,AE,50000,minmax,none,,0.6,0.02,covertype
27,0.6375875001052227,0.9912216321605166,0.6433823529411765,0.6410256410256411,0.6457564575645757,4.108735084533691,Completed,AE,50000,minmax,none,,0.6,0.02,covertype
28,0.8366843311297447,0.9908102353497149,0.8226691042047531,0.8152173913043478,0.8302583025830258,4.0161802768707275,Completed,AE,50000,minmax,none,,0.6,0.02,covertype
29,0.5935153580648532,0.9777789765038255,0.6218951241950321,0.6201834862385321,0.6236162361623616,3.982715129852295,Completed,AE,50000,minmax,none,,0.6,0.02,covertype
30,0.566333100060322,0.9823824202696716,0.5598678777869529,0.5067264573991032,0.6254612546125461,4.029457092285156,Completed,AE,50000,minmax,none,,0.7000000000000001,0.02,covertype
31,0.5408496403637193,0.9804500340890829,0.5274725274725275,0.5236363636363637,0.5313653136531366,3.9814629554748535,Completed,AE,50000,minmax,none,,0.7000000000000001,0.02,covertype
