,PR-AUC,ROC-AUC,Max F1,Max F1 Precision,Max F1 Recall,runtime,status,model,subsample,preprocessor,postprocessor,seed,lr,optimizer_fn,dataset
0,0.5865776383967121,0.9833158597872523,0.5876887340301974,0.7931034482758621,0.466789667896679,12.271092653274536,Completed,AE,50000,minmax,none,42,0.001,hd-sgd,covertype
1,0.5600005213528251,0.9772108251229303,0.5464982778415615,0.723404255319149,0.43911439114391143,12.386942148208618,Completed,AE,50000,minmax,none,43,0.001,hd-sgd,covertype
2,0.6572396298619835,0.9864327837746409,0.6303664921465969,0.7288135593220338,0.5553505535055351,12.481860876083374,Completed,AE,50000,minmax,none,42,0.0020000000000000005,hd-sgd,covertype
3,0.6415592134555343,0.9843167836021439,0.6352413019079686,0.8108882521489972,0.522140221402214,12.514548778533936,Completed,AE,50000,minmax,none,43,0.0020000000000000005,hd-sgd,covertype
4,0.730768447133659,0.9899226806777348,0.6937561942517344,0.7494646680942184,0.6457564575645757,12.292051792144775,Completed,AE,50000,minmax,none,42,0.004000000000000001,hd-sgd,covertype
5,0.7119111940623741,0.9894293253256444,0.6982758620689655,0.8393782383419689,0.5977859778597786,12.359676361083984,Completed,AE,50000,minmax,none,43,0.004000000000000001,hd-sgd,covertype
6,0.7866962197765851,0.9921652558755358,0.725883476599809,0.7524752475247525,0.7011070110701108,12.38136339187622,Completed,AE,50000,minmax,none,42,0.008000000000000004,hd-sgd,covertype
7,0.772159915026059,0.9936330113634753,0.7289719626168224,0.833729216152019,0.6476014760147601,12.399869918823242,Completed,AE,50000,minmax,none,43,0.008000000000000004,hd-sgd,covertype
8,0.7898482197194212,0.9937786491173174,0.7361853832442067,0.7120689655172414,0.7619926199261993,12.393877983093262,Completed,AE,50000,minmax,none,42,0.016,hd-sgd,covertype
9,0.7779408442437165,0.9956629494719066,0.7136150234741784,0.7265774378585086,0.7011070110701108,12.788037538528442,Completed,AE,50000,minmax,none,43,0.016,hd-sgd,covertype
10,0.7455225835555709,0.9944077937685843,0.6804478897502154,0.6381260096930533,0.7287822878228782,13.023382425308228,Completed,AE,50000,minmax,none,42,0.03200000000000001,hd-sgd,covertype
11,0.7324921237310831,0.9942398477727347,0.66728280961183,0.6685185185185185,0.6660516605166051,12.667223691940308,Completed,AE,50000,minmax,none,43,0.03200000000000001,hd-sgd,covertype
12,0.6842108027498108,0.9899351404650767,0.6466729147141519,0.6571428571428571,0.6365313653136532,12.928621530532837,Completed,AE,50000,minmax,none,42,0.06399999999999999,hd-sgd,covertype
13,0.7340735912918519,0.9913957334405322,0.6871508379888268,0.693609022556391,0.6808118081180812,12.963233470916748,Completed,AE,50000,minmax,none,43,0.06399999999999999,hd-sgd,covertype
14,0.6339722963872628,0.9822958732438228,0.6205450733752621,0.7184466019417476,0.5461254612546126,12.863471269607544,Completed,AE,50000,minmax,none,42,0.128,hd-sgd,covertype
15,0.74575429779217,0.9915340594628801,0.718139534883721,0.724202626641651,0.7121771217712177,12.710360765457153,Completed,AE,50000,minmax,none,43,0.128,hd-sgd,covertype
16,0.5615244729856564,0.9659927264685724,0.5906735751295336,0.6737588652482269,0.525830258302583,12.77639365196228,Completed,AE,50000,minmax,none,42,0.256,hd-sgd,covertype
17,0.6943603376668084,0.9880187580233196,0.6975425330812854,0.7151162790697675,0.6808118081180812,12.99631404876709,Completed,AE,50000,minmax,none,43,0.256,hd-sgd,covertype
18,0.5668401733476984,0.9827604293269672,0.5394581861012956,0.745928338762215,0.4225092250922509,20.135422468185425,Completed,PW-AE,50000,minmax,none,42,0.001,hd-sgd,covertype
19,0.4996766369167809,0.9664448227643746,0.490566037735849,0.5311827956989247,0.45571955719557194,20.441105842590332,Completed,PW-AE,50000,minmax,none,43,0.001,hd-sgd,covertype
20,0.5604466748984589,0.9804819669572409,0.5550561797752809,0.7097701149425287,0.45571955719557194,20.11182188987732,Completed,PW-AE,50000,minmax,none,42,0.0020000000000000005,hd-sgd,covertype
21,0.5475295377772298,0.9767734268996214,0.5339805825242718,0.7801418439716312,0.4059040590405904,20.562938451766968,Completed,PW-AE,50000,minmax,none,43,0.0020000000000000005,hd-sgd,covertype
22,0.6200902770710838,0.9824272978869543,0.608793686583991,0.782608695652174,0.4981549815498155,20.19537925720215,Completed,PW-AE,50000,minmax,none,42,0.004000000000000001,hd-sgd,covertype
23,0.6383368507232681,0.9842580659216759,0.6375442739079102,0.8852459016393442,0.4981549815498155,20.180917978286743,Completed,PW-AE,50000,minmax,none,43,0.004000000000000001,hd-sgd,covertype
24,0.6869851435004317,0.9868323549788937,0.6535044422507404,0.70276008492569,0.6107011070110702,20.501871585845947,Completed,PW-AE,50000,minmax,none,42,0.008000000000000004,hd-sgd,covertype
25,0.7173785531168699,0.99053507549512,0.7049891540130151,0.8552631578947368,0.5996309963099631,20.457788467407227,Completed,PW-AE,50000,minmax,none,43,0.008000000000000004,hd-sgd,covertype
26,0.724994847932028,0.9891424517787578,0.6630532971996387,0.6495575221238938,0.6771217712177122,20.45523428916931,Completed,PW-AE,50000,minmax,none,42,0.016,hd-sgd,covertype
27,0.7680863201554653,0.9925847105128821,0.7444219066937119,0.8265765765765766,0.6771217712177122,20.740315675735474,Completed,PW-AE,50000,minmax,none,43,0.016,hd-sgd,covertype
28,0.7313561534748245,0.9906794821921286,0.6878306878306878,0.8064516129032258,0.5996309963099631,21.08051633834839,Completed,PW-AE,50000,minmax,none,42,0.03200000000000001,hd-sgd,covertype
29,0.837233624039976,0.9971781193003,0.7663934426229508,0.8617511520737328,0.6900369003690037,21.07106876373291,Completed,PW-AE,50000,minmax,none,43,0.03200000000000001,hd-sgd,covertype
30,0.6735025793499975,0.9901748981095293,0.6285714285714286,0.7369727047146402,0.5479704797047971,20.895993947982788,Completed,PW-AE,50000,minmax,none,42,0.06399999999999999,hd-sgd,covertype
31,0.8440457215688287,0.997893326015633,0.7685352622061484,0.7535460992907801,0.7841328413284133,20.95453715324402,Completed,PW-AE,50000,minmax,none,43,0.06399999999999999,hd-sgd,covertype
32,0.767596820139471,0.9955249218875788,0.7044025157232704,0.6865148861646234,0.7232472324723247,20.870068073272705,Completed,PW-AE,50000,minmax,none,42,0.128,hd-sgd,covertype
33,0.7866020159804307,0.9966944631838651,0.7142857142857142,0.6765676567656765,0.7564575645756457,20.991447925567627,Completed,PW-AE,50000,minmax,none,43,0.128,hd-sgd,covertype
34,0.7760212308865043,0.996044689004454,0.7386262265834076,0.7150259067357513,0.7638376383763837,21.118515968322754,Completed,PW-AE,50000,minmax,none,42,0.256,hd-sgd,covertype
35,0.731863356486468,0.995377306981853,0.6879432624113475,0.6621160409556314,0.7158671586715867,21.110934495925903,Completed,PW-AE,50000,minmax,none,43,0.256,hd-sgd,covertype
36,0.6008710159374742,0.9850277748804421,0.5928571428571427,0.8355704697986577,0.45940959409594095,19.866912603378296,Completed,DAE,50000,minmax,none,42,0.001,hd-sgd,covertype
37,0.5805092912417604,0.9800227081489546,0.5659008464328898,0.8210526315789474,0.4317343173431734,19.939966201782227,Completed,DAE,50000,minmax,none,43,0.001,hd-sgd,covertype
38,0.6756291271772724,0.9884169862564814,0.6399082568807339,0.8454545454545455,0.514760147601476,19.66835880279541,Completed,DAE,50000,minmax,none,42,0.0020000000000000005,hd-sgd,covertype
39,0.6671671485764251,0.9873684242726207,0.6507394766780432,0.8486646884272997,0.5276752767527675,19.64091157913208,Completed,DAE,50000,minmax,none,43,0.0020000000000000005,hd-sgd,covertype
40,0.7641951426258506,0.9923268227587043,0.7181069958847737,0.8116279069767441,0.6439114391143912,20.41576051712036,Completed,DAE,50000,minmax,none,42,0.004000000000000001,hd-sgd,covertype
41,0.7529719220051974,0.9929836102315893,0.7146017699115045,0.8922651933701657,0.5959409594095941,20.425031661987305,Completed,DAE,50000,minmax,none,43,0.004000000000000001,hd-sgd,covertype
42,0.8346709846405769,0.9950489878549156,0.7830188679245284,0.8011583011583011,0.7656826568265682,20.67054057121277,Completed,DAE,50000,minmax,none,42,0.008000000000000004,hd-sgd,covertype
43,0.8377268220802719,0.9969331016857421,0.7752808988764044,0.7870722433460076,0.7638376383763837,20.39222264289856,Completed,DAE,50000,minmax,none,43,0.008000000000000004,hd-sgd,covertype
44,0.8701856360206687,0.9972956292707413,0.8151571164510165,0.8166666666666667,0.8136531365313653,20.551775693893433,Completed,DAE,50000,minmax,none,42,0.016,hd-sgd,covertype
45,0.8699293717618818,0.998381421397618,0.8034351145038169,0.8320158102766798,0.7767527675276753,20.55161190032959,Completed,DAE,50000,minmax,none,43,0.016,hd-sgd,covertype
46,0.8678729382394136,0.99806522631525,0.8142981691368788,0.771900826446281,0.8616236162361623,20.76329493522644,Completed,DAE,50000,minmax,none,42,0.03200000000000001,hd-sgd,covertype
47,0.857463936772717,0.9983180779278374,0.7954545454545455,0.7558139534883721,0.8394833948339483,20.54190230369568,Completed,DAE,50000,minmax,none,43,0.03200000000000001,hd-sgd,covertype
48,0.8342212188741218,0.99769706571262,0.7836879432624113,0.7542662116040956,0.8154981549815498,20.66572117805481,Completed,DAE,50000,minmax,none,42,0.06399999999999999,hd-sgd,covertype
49,0.8296949783023222,0.9978492691029057,0.7747440273037542,0.7206349206349206,0.8376383763837638,20.756304264068604,Completed,DAE,50000,minmax,none,43,0.06399999999999999,hd-sgd,covertype
50,0.8130325177940148,0.9971707702640534,0.7622439893143367,0.7366609294320138,0.7896678966789668,21.089661836624146,Completed,DAE,50000,minmax,none,42,0.128,hd-sgd,covertype
51,0.7924809688913402,0.9971519686687829,0.7675401521555367,0.7082683307332294,0.8376383763837638,20.90809679031372,Completed,DAE,50000,minmax,none,43,0.128,hd-sgd,covertype
52,0.8157271890054173,0.9973763567551968,0.7642857142857142,0.740484429065744,0.7896678966789668,20.949065685272217,Completed,DAE,50000,minmax,none,42,0.256,hd-sgd,covertype
53,0.8110143582736518,0.9971284666746946,0.7753303964757708,0.7419898819561551,0.8118081180811808,21.11680841445923,Completed,DAE,50000,minmax,none,43,0.256,hd-sgd,covertype
54,0.40662227231429277,0.8768706723252178,0.5496688741721855,0.538961038961039,0.5608108108108109,15.435807466506958,Completed,AE,50000,minmax,none,42,0.001,hd-sgd,creditcard
55,0.41190766961751984,0.8683640061067245,0.5663082437275986,0.6030534351145038,0.5337837837837838,15.638410568237305,Completed,AE,50000,minmax,none,43,0.001,hd-sgd,creditcard
56,0.3799894475943931,0.9242042933569853,0.5372168284789645,0.515527950310559,0.5608108108108109,15.78607177734375,Completed,AE,50000,minmax,none,42,0.0020000000000000005,hd-sgd,creditcard
57,0.3881947027160038,0.9209572496752549,0.5567765567765568,0.608,0.5135135135135135,15.66551947593689,Completed,AE,50000,minmax,none,43,0.0020000000000000005,hd-sgd,creditcard
